PAM,VFSC
126.63,60.79
124.02,58.59
121.81,56.76
119.98,55.26
118.47,54.03
117.26,53.04
116.30,52.25
115.55,51.62
114.99,51.10
114.57,50.65
114.15,49.74
113.80,48.83
113.53,48.18
113.35,47.91
113.23,48.20
113.05,49.93
113.00,51.97
113.13,54.13
113.52,56.20
114.43,57.81
115.50,59.06
116.66,59.83
117.80,59.64
118.86,58.52
119.75,57.15
120.40,55.78
120.44,55.34
120.20,55.15
119.75,55.09
119.20,55.04
118.64,54.81
118.06,54.57
117.49,54.31
116.96,54.03
116.70,53.66
116.52,53.31
116.38,53.01
116.27,52.78
116.09,52.72
115.80,52.93
115.52,53.21
115.30,53.53
115.16,53.87
115.22,54.27
115.39,54.59
115.62,54.74
115.90,54.67
116.35,53.75
116.76,52.68
117.04,51.65
117.07,50.91
116.40,51.14
115.56,51.65
114.65,52.33
113.79,53.09
113.50,53.54
113.34,53.95
113.29,54.31
113.30,54.61
113.30,54.79
113.16,54.76
113.05,54.71
113.01,54.72
113.05,54.81
113.23,55.18
113.54,55.75
113.96,56.46
114.51,57.29
115.40,58.44
116.48,59.75
117.44,60.90
118.15,61.75
117.91,61.54
117.25,60.84
116.43,59.95
115.60,59.03
115.53,58.91
115.62,58.97
115.81,59.11
116.03,59.27
116.18,59.31
116.02,58.93
115.83,58.52
115.64,58.16
115.49,57.89
115.51,58.00
115.67,58.40
115.85,58.86
116.02,59.32
116.09,59.63
116.06,59.75
115.97,59.79
115.85,59.78
115.68,59.71
115.48,59.61
115.27,59.49
115.06,59.38
114.87,59.32
114.78,59.42
114.70,59.55
114.61,59.69
114.49,59.80
114.21,59.85
113.85,59.83
113.52,59.77
113.24,59.68
113.22,59.48
113.39,59.23
113.58,59.03
113.74,58.92
113.66,59.15
113.44,59.56
113.18,60.03
112.90,60.49
112.72,60.74
112.58,60.88
112.45,60.94
112.31,60.96
112.10,60.90
111.83,60.80
111.57,60.69
111.35,60.61
111.25,60.60
111.29,60.71
111.35,60.85
111.41,60.99
111.37,61.13
111.22,61.23
111.05,61.30
110.89,61.31
110.79,61.12
110.76,60.78
110.77,60.45
110.80,60.20
110.82,60.17
110.81,60.53
110.84,61.01
110.95,61.55
111.19,62.08
111.62,62.53
112.12,62.94
112.67,63.25
113.19,63.39
113.67,63.35
114.12,63.24
114.55,63.11
114.93,63.10
115.26,63.17
115.53,63.24
115.76,63.26
115.93,63.28
116.03,63.34
116.08,63.15
116.09,62.92
116.07,62.70
116.02,62.47
115.95,62.25
115.86,62.02
115.75,61.80
115.63,61.57
115.49,61.35
115.34,61.12
115.18,60.90
114.99,60.68
114.83,60.45
114.69,60.23
114.61,60.00
114.60,59.78
114.67,59.55
114.84,59.33
115.12,59.10
115.55,58.88
116.12,58.65
116.81,60.18
117.62,61.71
118.72,62.70
119.93,63.28
121.07,63.69
122.00,63.99
122.25,64.37
122.18,64.66
121.93,64.81
121.58,64.75
121.34,64.16
121.07,63.42
120.79,62.63
120.52,61.86
120.31,61.50
120.13,61.37
119.95,61.32
119.78,61.31
119.56,61.24
119.23,60.97
118.92,60.71
118.67,60.51
118.52,60.40
118.68,60.66
118.94,61.03
119.22,61.39
119.48,61.69
119.56,61.62
119.55,61.46
119.44,61.23
119.18,60.96
118.66,60.70
118.09,60.46
117.55,60.24
117.11,60.09
117.17,60.15
117.34,60.25
117.56,60.39
117.78,60.53
117.73,60.53
117.52,60.46
117.33,60.43
117.24,60.51
117.42,60.84
117.86,61.41
118.44,62.06
119.13,62.72
120.04,63.37
121.01,63.93
121.90,64.36
122.62,64.60
122.61,64.26
122.33,63.69
121.94,63.01
121.53,62.32
121.55,61.98
121.85,61.87
122.20,61.82
122.54,61.78
122.81,61.73
122.70,61.57
122.46,61.33
122.18,61.00
121.88,60.55
121.66,59.68
121.51,58.58
121.40,57.58
121.32,56.80
121.32,56.85
121.39,57.71
121.45,58.77
121.46,59.83
121.36,60.55
121.01,60.44
120.62,60.16
120.23,59.78
119.93,59.45
119.85,59.37
119.80,59.34
119.74,59.35
119.62,59.38
119.24,59.41
118.83,59.47
118.41,59.55
118.05,59.67
117.91,59.84
117.86,60.05
117.87,60.27
117.91,60.51
117.87,60.72
117.80,60.92
117.79,61.14
117.89,61.39
118.27,61.78
118.86,62.25
119.47,62.67
120.03,63.00
120.32,63.04
120.43,62.91
120.41,62.67
120.26,62.33
119.90,61.92
119.46,61.47
118.96,61.00
118.45,60.53
118.08,60.17
117.75,59.85
117.45,59.55
117.17,59.26
116.92,58.96
116.68,58.65
116.44,58.36
116.17,58.09
115.83,57.83
115.41,57.60
114.98,57.39
114.54,57.20
114.12,57.08
113.72,57.01
113.35,56.93
113.00,56.82
112.67,56.61
112.36,56.23
112.10,55.85
111.89,55.50
111.75,55.24
111.74,55.25
111.80,55.38
111.91,55.61
112.06,55.92
112.21,56.30
112.37,56.74
112.57,57.21
112.81,57.69
113.14,58.20
113.52,58.69
113.94,59.11
114.36,59.42
114.93,59.46
115.45,59.33
115.81,59.09
115.90,58.76
115.14,58.37
114.10,57.94
112.91,57.49
111.67,57.04
110.85,56.68
110.18,56.35
109.60,56.07
109.12,55.82
108.71,55.61
108.38,55.40
108.12,55.24
107.92,55.14
107.78,55.11
107.68,55.15
107.51,55.25
107.37,55.46
107.34,55.79
107.46,56.28
107.88,57.14
108.76,58.58
109.66,59.91
110.47,60.89
110.90,60.87
110.80,59.52
110.50,57.87
110.04,56.21
109.54,55.45
109.05,55.73
108.54,56.32
108.02,57.08
107.52,57.87
107.11,58.00
106.75,57.94
106.44,57.81
106.18,57.64
105.96,57.48
105.76,57.48
105.62,57.54
105.55,57.66
105.56,57.82
105.68,58.05
106.02,58.35
106.43,58.71
106.90,59.11
107.39,59.56
107.96,60.20
108.48,60.82
108.90,61.34
109.14,61.68
108.76,61.29
108.24,60.75
107.67,60.17
107.15,59.68
107.15,59.97
107.32,60.47
107.60,61.06
107.95,61.66
108.33,62.08
108.71,62.09
109.04,62.00
109.30,61.85
109.45,61.68
109.19,61.50
108.85,61.37
108.56,61.31
108.47,61.43
108.84,61.90
109.29,62.38
109.70,62.78
109.77,62.76
109.64,62.47
109.45,62.06
109.26,61.61
109.27,61.28
109.32,60.97
109.40,60.67
109.51,60.38
109.51,60.08
109.57,59.81
109.72,59.59
110.02,59.45
110.74,59.44
111.57,59.51
112.46,59.65
113.32,59.83
113.98,60.12
114.56,60.40
115.06,60.63
115.46,60.72
115.71,60.50
115.88,60.21
115.99,59.90
116.07,59.63
116.16,59.67
116.24,59.76
116.30,59.86
116.34,59.95
116.31,59.83
116.27,59.65
116.27,59.47
116.33,59.35
116.60,59.42
117.00,59.62
117.44,59.88
117.90,60.17
118.33,60.55
118.70,60.91
118.99,61.16
119.15,61.24
118.96,60.76
118.62,60.05
118.21,59.24
117.77,58.41
117.50,57.82
117.35,57.42
117.22,57.09
117.08,56.81
116.90,56.57
116.47,56.24
116.04,55.97
115.64,55.75
115.31,55.63
115.24,55.65
115.33,55.80
115.51,56.05
115.76,56.39
116.06,56.96
116.38,57.62
116.70,58.24
116.98,58.77
117.09,58.88
117.13,58.78
117.13,58.57
117.11,58.30
117.15,58.11
117.22,57.97
117.29,57.84
117.35,57.73
117.36,57.66
117.27,57.62
117.20,57.62
117.15,57.66
117.16,57.75
117.43,58.11
117.79,58.49
118.12,58.76
118.37,58.84
118.31,58.29
118.04,57.32
117.71,56.26
117.37,55.23
117.20,54.61
117.16,54.32
117.17,54.23
117.22,54.34
117.30,54.72
117.41,55.47
117.52,56.30
117.61,57.12
117.66,57.85
117.61,58.03
117.48,57.94
117.32,57.77
117.13,57.57
116.92,57.49
116.70,57.63
116.49,57.80
116.28,57.97
116.15,58.13
116.13,58.28
116.11,58.33
116.03,58.26
115.86,58.00
115.32,57.09
114.65,55.98
113.92,54.86
113.19,53.85
112.55,53.27
112.12,53.48
111.76,53.88
111.45,54.41
111.19,54.97
110.94,55.26
110.72,55.34
110.55,55.43
110.42,55.54
110.40,55.86
110.47,56.40
110.56,56.93
110.63,57.40
110.60,57.60
110.40,57.38
110.15,57.04
109.89,56.65
109.65,56.26
109.66,56.14
109.71,56.11
109.74,56.15
109.70,56.25
109.54,56.41
109.14,56.61
108.60,56.85
107.92,57.12
107.11,57.44
105.89,57.87
104.47,58.33
103.18,58.74
102.17,59.05
102.01,58.89
102.73,58.32
103.76,57.78
104.95,57.41
106.10,57.49
106.77,58.85
107.36,60.44
107.87,62.06
108.30,63.52
108.49,64.10
108.68,64.34
108.99,64.33
109.54,64.12
111.05,63.75
112.59,63.27
113.94,62.73
114.65,62.26
114.21,61.98
113.37,61.64
112.28,61.19
111.22,60.25
110.30,58.84
109.41,57.35
108.58,55.90
107.86,54.62
107.46,54.34
107.25,54.54
107.14,54.95
107.10,55.48
107.12,56.05
107.02,56.38
106.80,56.41
106.68,56.38
106.71,56.33
106.94,56.63
107.69,56.93
108.67,57.22
109.74,57.52
110.84,57.82
111.80,58.12
112.70,58.41
113.53,58.71
114.25,59.01
114.83,59.30
115.31,59.60
115.67,59.90
115.86,60.19
115.92,60.49
115.94,60.79
115.96,61.09
116.17,61.59
116.47,61.60
116.75,61.30
116.99,60.81
117.04,60.71
117.00,60.56
116.88,60.32
116.71,59.94
116.51,59.12
116.25,58.16
115.94,57.17
115.56,56.22
115.03,55.58
114.41,55.17
113.79,54.87
113.18,54.64
112.69,54.44
112.38,54.22
112.13,54.03
111.89,53.86
111.64,53.71
111.28,53.58
110.92,53.46
110.55,53.36
110.19,53.26
109.86,53.08
109.56,52.92
109.30,52.83
109.09,52.82
108.99,53.05
108.98,53.47
109.03,53.97
109.11,54.49
109.20,55.02
109.30,55.50
109.42,55.90
109.56,56.17
109.74,56.01
109.93,55.63
110.14,55.22
110.35,54.88
110.55,54.98
110.75,55.45
110.94,56.01
111.11,56.57
111.25,56.98
111.32,57.05
111.39,57.02
111.50,56.90
111.67,56.72
112.07,56.35
112.51,56.01
112.95,55.77
113.35,55.69
113.60,56.25
113.77,57.00
113.87,57.78
113.88,58.50
113.71,58.65
113.48,58.61
113.22,58.45
112.99,58.23
112.90,58.04
113.00,57.93
113.14,57.84
113.31,57.80
113.48,57.81
113.58,58.00
113.61,58.32
113.64,58.66
113.67,58.98
113.72,59.26
113.74,59.24
113.81,59.19
113.97,59.14
114.25,59.13
114.90,59.38
115.71,59.74
116.51,60.11
117.23,60.44
117.54,60.60
117.60,60.63
117.54,60.59
117.38,60.48
117.17,60.31
116.95,60.09
116.75,59.83
116.62,59.57
116.61,59.30
116.99,59.01
117.48,58.77
118.05,58.60
118.65,58.53
119.16,58.71
119.62,59.08
120.10,59.52
120.62,60.00
121.33,60.49
122.17,60.95
122.95,61.31
123.58,61.53
123.76,61.42
123.63,61.07
123.34,60.58
122.95,60.00
122.56,59.35
122.17,58.68
121.76,58.03
121.35,57.45
120.99,57.11
120.73,57.13
120.48,57.20
120.24,57.28
120.01,57.30
119.69,56.86
119.33,56.18
119.02,55.51
118.79,54.93
118.74,54.64
118.96,54.85
119.25,55.21
119.56,55.68
119.82,56.16
119.93,56.60
120.00,57.01
120.03,57.36
119.98,57.58
119.85,57.63
119.74,57.63
119.71,57.59
119.94,57.56
120.47,57.56
121.03,57.59
121.55,57.66
121.82,57.80
121.70,58.06
121.54,58.35
121.45,58.66
121.63,58.94
122.16,59.18
122.81,59.41
123.53,59.35
124.26,59.29
124.98,59.23
125.68,59.16
126.34,59.10
127.03,59.04
127.61,58.98
128.03,58.91
128.15,58.85
127.86,58.79
127.37,58.73
126.73,58.66
126.02,58.60
125.25,58.54
124.43,58.48
123.61,58.42
122.86,58.35
122.08,58.29
121.27,58.23
120.35,58.17
119.32,58.10
118.25,58.04
117.15,57.98
116.03,57.92
114.91,57.85
113.81,57.79
112.77,57.73
111.80,57.67
110.94,57.60
110.18,57.54
109.54,57.48
109.03,57.42
108.74,57.36
108.59,57.29
108.56,57.23
108.63,57.17
108.86,57.11
109.13,57.04
109.38,56.98
109.56,56.92
109.45,56.86
109.27,57.48
109.05,57.85
108.85,58.09
108.70,58.30
108.57,58.43
108.48,58.51
108.45,58.62
108.48,58.76
108.53,58.93
108.60,59.14
108.63,59.44
108.66,59.80
108.74,60.22
108.90,60.77
109.22,61.57
109.54,62.24
109.82,62.64
109.92,62.11
109.86,60.89
109.69,59.55
109.41,58.34
108.95,58.27
108.42,58.69
107.87,59.26
107.34,59.81
107.06,59.77
106.85,59.51
106.66,59.12
106.47,58.61
106.02,57.73
105.58,56.89
105.23,56.29
105.09,56.21
105.44,57.46
105.93,58.97
106.49,60.48
107.00,61.41
107.38,61.39
107.70,61.14
107.97,60.79
108.16,60.69
108.26,60.90
108.32,61.18
108.35,61.49
108.42,61.78
108.52,62.03
108.60,62.22
108.65,62.34
108.64,62.29
108.53,62.00
108.38,61.66
108.21,61.32
108.00,61.07
107.79,61.01
107.57,61.02
107.38,61.08
107.22,61.17
107.14,61.29
107.11,61.41
107.13,61.51
107.18,61.56
107.27,61.40
107.39,61.12
107.56,60.87
107.78,60.71
108.03,60.83
108.33,61.46
108.69,62.11
109.11,62.64
109.61,62.81
110.26,62.05
110.94,61.19
111.63,60.40
112.29,60.13
112.92,60.77
113.42,61.55
113.73,62.30
113.63,62.54
113.04,62.07
112.26,61.39
111.40,60.62
110.57,59.90
110.06,59.59
109.62,59.36
109.26,59.19
108.97,59.06
108.75,58.97
108.63,58.93
108.55,58.86
108.52,58.76
108.53,58.58
108.52,58.18
108.41,57.29
108.36,56.48
108.43,55.87
108.64,55.59
109.38,56.64
110.24,58.05
111.07,59.48
111.75,60.71
111.79,60.73
111.54,60.27
111.13,59.59
110.62,58.82
110.20,58.40
109.80,58.17
109.40,57.99
109.01,57.87
108.66,57.77
108.37,57.64
108.11,57.53
107.90,57.47
107.73,57.45
107.58,57.45
107.45,57.46
107.41,57.57
107.48,57.82
107.70,58.23
108.34,59.15
109.07,60.17
109.83,61.21
110.55,62.18
110.96,62.78
111.28,63.24
111.52,63.56
111.68,63.76
111.80,63.83
111.87,63.80
111.91,63.68
111.93,63.50
111.97,63.25
112.00,62.97
112.02,62.68
112.01,62.41
111.93,62.28
111.78,62.29
111.64,62.29
111.53,62.21
111.54,61.93
111.71,61.37
111.90,60.73
112.09,60.06
112.19,59.44
112.16,58.93
112.08,58.46
111.96,58.06
111.78,57.67
111.52,57.26
111.28,56.99
111.11,56.94
111.07,57.24
111.33,58.32
111.68,59.54
112.06,60.74
112.42,61.64
112.68,61.92
112.91,61.96
113.11,61.80
113.31,61.47
113.52,61.04
113.70,60.49
113.83,59.85
113.87,59.08
113.77,58.05
113.62,57.11
113.42,56.38
113.20,55.99
113.02,56.99
112.82,58.28
112.62,59.56
112.41,60.60
112.22,60.19
112.02,59.09
111.78,57.80
111.49,56.55
111.04,56.12
110.47,56.48
109.87,56.99
109.28,57.51
108.75,57.86
108.38,57.05
108.11,56.13
107.91,55.26
107.81,54.60
107.83,54.71
107.96,55.63
108.17,56.75
108.44,57.95
108.77,58.93
109.16,59.56
109.55,60.08
109.94,60.49
110.27,60.83
110.53,61.09
110.74,61.29
110.93,61.45
111.08,61.55
111.21,61.61
111.31,61.66
111.38,61.73
111.40,61.86
111.28,62.28
111.18,62.66
111.14,62.95
111.19,63.06
111.74,62.58
112.37,61.88
112.93,61.07
113.33,60.23
113.05,59.53
112.51,58.91
111.83,58.37
111.11,57.94
110.60,57.81
110.17,57.80
109.80,57.85
109.51,57.93
109.38,57.92
109.44,57.76
109.57,57.57
109.72,57.40
109.87,57.24
109.87,57.20
109.73,57.26
109.62,57.32
109.58,57.37
109.73,57.35
110.21,57.17
110.76,56.98
111.34,56.77
111.84,56.61
112.17,56.53
112.41,56.49
112.55,56.49
112.58,56.54
112.39,56.63
112.11,56.77
111.77,56.92
111.41,57.10
111.10,57.32
110.84,57.56
110.62,57.78
110.42,57.95
110.26,58.04
110.18,57.82
110.14,57.53
110.13,57.26
110.15,57.07
110.27,57.26
110.43,57.67
110.53,58.09
110.52,58.46
110.09,58.43
109.42,58.13
108.76,57.78
108.21,57.43
108.24,57.32
